nm0000313	Jeff Bridges	tt0371746
nm0005024	Terrence Howard	tt0371746
nm0001765	Harry Dean Stanton	tt0848228
nm0000375	Robert Downey Jr.	tt4154756	tt0848228	tt0371746
nm0442207	Lloyd Kaufman	tt2015381
